[Epoch 180/3000] D Loss: -1.1450 | G Loss: 1.0044 | W Dist: 1.8339 | Aux MSE: 0.0000

[Epoch 181/3000] D Loss: -1.0456 | G Loss: 1.0563 | W Dist: 1.8162 | Aux MSE: 0.0000

[Epoch 182/3000] D Loss: -1.1347 | G Loss: 1.0603 | W Dist: 1.8588 | Aux MSE: 0.0000

[Epoch 183/3000] D Loss: -1.1578 | G Loss: 1.1654 | W Dist: 1.9002 | Aux MSE: 0.0000

[Epoch 184/3000] D Loss: -1.1307 | G Loss: 1.2655 | W Dist: 1.9407 | Aux MSE: 0.0000

[Epoch 185/3000] D Loss: -1.1102 | G Loss: 1.3290 | W Dist: 1.9072 | Aux MSE: 0.0000

[Epoch 186/3000] D Loss: -1.1544 | G Loss: 1.4606 | W Dist: 2.0050 | Aux MSE: 0.0000

[Epoch 187/3000] D Loss: -1.1266 | G Loss: 1.5297 | W Dist: 2.0110 | Aux MSE: 0.0000

[Epoch 188/3000] D Loss: -1.0995 | G Loss: 1.5492 | W Dist: 1.9258 | Aux MSE: 0.0000

[Epoch 189/3000] D Loss: -1.1424 | G Loss: 1.5234 | W Dist: 1.9471 | Aux MSE: 0.0000

[Epoch 190/3000] D Loss: -1.1550 | G Loss: 1.5690 | W Dist: 2.1153 | Aux MSE: 0.0000

[Epoch 191/3000] D Loss: -1.2057 | G Loss: 1.5279 | W Dist: 2.1479 | Aux MSE: 0.0000

[Epoch 192/3000] D Loss: -0.8928 | G Loss: 1.4765 | W Dist: 2.0731 | Aux MSE: 0.0000

[Epoch 193/3000] D Loss: -1.0014 | G Loss: 1.3495 | W Dist: 2.1300 | Aux MSE: 0.0000

[Epoch 194/3000] D Loss: -1.1699 | G Loss: 1.2992 | W Dist: 2.1339 | Aux MSE: 0.0000

[Epoch 195/3000] D Loss: -1.0813 | G Loss: 1.2442 | W Dist: 2.0890 | Aux MSE: 0.0000

[Epoch 196/3000] D Loss: -1.3820 | G Loss: 1.2853 | W Dist: 2.1796 | Aux MSE: 0.0000

[Epoch 197/3000] D Loss: -1.3968 | G Loss: 1.3812 | W Dist: 2.2928 | Aux MSE: 0.0000

[Epoch 198/3000] D Loss: -1.4633 | G Loss: 1.3966 | W Dist: 2.4685 | Aux MSE: 0.0000

[Epoch 199/3000] D Loss: -1.1246 | G Loss: 1.2877 | W Dist: 2.3272 | Aux MSE: 0.0000

[Epoch 200/3000] D Loss: -0.8320 | G Loss: 1.1384 | W Dist: 2.1646 | Aux MSE: 0.0000

[Epoch 201/3000] D Loss: -0.8859 | G Loss: 0.9525 | W Dist: 2.0248 | Aux MSE: 0.0000

[Epoch 202/3000] D Loss: -0.7708 | G Loss: 0.7970 | W Dist: 1.9175 | Aux MSE: 0.0000

[Epoch 203/3000] D Loss: -0.8843 | G Loss: 0.7404 | W Dist: 1.8377 | Aux MSE: 0.0000

[Epoch 204/3000] D Loss: -0.7474 | G Loss: 0.6715 | W Dist: 1.7288 | Aux MSE: 0.0000

[Epoch 205/3000] D Loss: -0.9380 | G Loss: 0.6367 | W Dist: 1.7808 | Aux MSE: 0.0000

[Epoch 206/3000] D Loss: -0.9203 | G Loss: 0.6436 | W Dist: 1.7896 | Aux MSE: 0.0000

[Epoch 207/3000] D Loss: -1.0100 | G Loss: 0.6072 | W Dist: 1.8560 | Aux MSE: 0.0000

[Epoch 208/3000] D Loss: -0.9512 | G Loss: 0.5737 | W Dist: 1.8276 | Aux MSE: 0.0000

[Epoch 209/3000] D Loss: -0.9988 | G Loss: 0.5021 | W Dist: 1.8293 | Aux MSE: 0.0000

[Epoch 210/3000] D Loss: -1.3299 | G Loss: 0.6520 | W Dist: 2.0615 | Aux MSE: 0.0000

[Epoch 211/3000] D Loss: -1.3788 | G Loss: 0.8698 | W Dist: 2.2022 | Aux MSE: 0.0000

[Epoch 212/3000] D Loss: -1.4421 | G Loss: 0.9021 | W Dist: 2.3396 | Aux MSE: 0.0000

[Epoch 213/3000] D Loss: -1.2766 | G Loss: 0.8043 | W Dist: 2.1972 | Aux MSE: 0.0000

[Epoch 214/3000] D Loss: -1.0149 | G Loss: 0.6495 | W Dist: 2.1042 | Aux MSE: 0.0000

[Epoch 215/3000] D Loss: -1.1283 | G Loss: 0.4779 | W Dist: 2.0530 | Aux MSE: 0.0000

[Epoch 216/3000] D Loss: -1.2191 | G Loss: 0.3202 | W Dist: 2.0062 | Aux MSE: 0.0000

[Epoch 217/3000] D Loss: -1.2389 | G Loss: 0.2106 | W Dist: 2.0599 | Aux MSE: 0.0000

[Epoch 218/3000] D Loss: -1.4825 | G Loss: 0.1951 | W Dist: 2.2053 | Aux MSE: 0.0000

[Epoch 219/3000] D Loss: -1.5724 | G Loss: 0.3226 | W Dist: 2.3662 | Aux MSE: 0.0000

[Epoch 220/3000] D Loss: -1.6831 | G Loss: 0.5392 | W Dist: 2.5334 | Aux MSE: 0.0000

[Epoch 221/3000] D Loss: -1.4841 | G Loss: 0.7247 | W Dist: 2.4968 | Aux MSE: 0.0000

[Epoch 222/3000] D Loss: -1.1266 | G Loss: 0.6024 | W Dist: 2.3903 | Aux MSE: 0.0000

[Epoch 223/3000] D Loss: -0.8349 | G Loss: 0.3523 | W Dist: 2.1392 | Aux MSE: 0.0000

[Epoch 224/3000] D Loss: -1.1224 | G Loss: 0.1882 | W Dist: 2.0566 | Aux MSE: 0.0000

[Epoch 225/3000] D Loss: -1.0296 | G Loss: 0.0835 | W Dist: 1.9442 | Aux MSE: 0.0000

[Epoch 226/3000] D Loss: -0.9531 | G Loss: -0.0099 | W Dist: 1.8188 | Aux MSE: 0.0000

[Epoch 227/3000] D Loss: -1.0100 | G Loss: -0.0011 | W Dist: 1.8798 | Aux MSE: 0.0001

[Epoch 228/3000] D Loss: -1.0035 | G Loss: -0.0370 | W Dist: 1.8829 | Aux MSE: 0.0000

[Epoch 229/3000] D Loss: -0.9834 | G Loss: -0.0405 | W Dist: 1.8340 | Aux MSE: 0.0000

